,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
602,2,1.0,1.0,1.0,80.0,3,1125,102
4352,2,1.0,1.0,1.0,45.0,2,8,396
4240,4,1.0,1.0,0.0,90.0,3,1125,30
7519,6,2.0,1.0,3.0,80.0,1,1125,0
3759,2,0.0,1.0,1.0,45.0,3,1125,110
5385,5,3.0,1.0,4.0,130.0,10,13,1
5012,6,3.0,2.0,3.0,199.0,2,1125,18
5326,5,2.0,1.0,4.0,175.0,30,305,178
3849,3,1.0,1.0,3.0,110.0,7,30,0
5094,5,3.0,1.0,4.0,100.0,4,30,2
3675,2,1.0,1.0,1.0,59.0,7,120,1
7609,2,1.0,1.5,1.0,75.0,4,30,40
2738,2,1.0,1.0,1.0,75.0,3,365,69
6871,5,2.0,1.0,3.0,65.0,1,1125,32
7312,2,0.0,1.0,1.0,65.0,3,1125,15
637,4,1.0,1.0,2.0,100.0,4,365,68
5158,3,1.0,1.0,2.0,190.0,2,1124,82
628,6,4.0,2.0,5.0,190.0,6,1125,12
7056,2,0.0,1.0,1.0,53.0,1,1125,223
23,2,1.0,1.0,1.0,80.0,120,1125,1
4000,3,0.0,1.0,3.0,69.0,3,31,243
7465,4,1.0,1.0,2.0,100.0,3,1125,4
801,4,1.0,1.0,2.0,114.0,30,1125,16
4032,1,1.0,1.0,1.0,46.0,1,1125,451
3028,2,0.0,1.0,1.0,144.0,3,1125,1
110,3,2.0,2.5,1.0,160.0,2,60,15
604,1,1.0,1.0,2.0,146.0,90,360,4
6582,4,1.0,1.0,1.0,160.0,90,1125,19
6394,8,4.0,4.5,5.0,600.0,2,90,83
3669,5,2.0,1.0,2.0,199.0,2,180,199
7445,3,1.0,1.0,2.0,60.0,4,60,17
5080,6,2.0,2.0,3.0,150.0,4,1125,8
2045,2,0.0,1.0,1.0,167.0,3,365,5
7278,6,1.0,1.5,3.0,100.0,3,25,47
5581,4,2.0,2.0,3.0,525.0,3,365,27
2121,5,2.0,2.0,4.0,260.0,3,365,1
3117,2,0.0,1.0,1.0,43.0,6,30,16
3080,4,1.0,1.5,1.0,125.0,3,365,87
5037,1,1.0,1.0,1.0,40.0,5,25,12
7217,4,1.0,1.0,2.0,117.0,4,60,46
799,6,1.0,1.5,2.0,60.0,4,30,0
3659,2,1.0,1.0,1.0,70.0,4,100,7
1101,4,1.0,1.0,2.0,96.0,5,1125,9
5762,2,1.0,1.0,1.0,80.0,5,1125,9
571,6,4.0,2.0,4.0,185.0,2,30,56
2672,4,1.0,1.0,2.0,146.0,3,1125,46
4820,2,1.0,1.0,2.0,169.0,2,30,33
7964,6,3.0,1.0,4.0,178.0,4,1125,28
2709,4,2.0,1.0,3.0,130.0,2,1125,10
1792,2,1.0,1.0,0.0,150.0,5,1125,38
5020,3,0.0,1.0,2.0,58.0,3,30,86
